,de1,de2
198,"Das Pendant zu der ruhigen Sekurität der bürgerlichen Welt, in welcher das Individuum dem Leben seinen ihm zukommenden Anteil abverlangte und dennoch nie ganz genug bekommen konnte an Ereignissen und Sensationen, waren die großen Männer, die Genies und die Ausnahmen, die in den Augen der gleichen bürgerlichen Individuen die herrliche und geheimnisvolle Inkarnation von etwas Übermenschlichem repräsentierten, das man »Schicksal« nennen konnte, wie im Falle Napoleons, oder »Geschichte«, wie im Falle Hegels, oder den Willen Gottes, wie im Falle Kierkegaards, der behauptete, Gott habe an ihm ein Exempel statuieren wollen, oder     »Notwendigkeit«, wie im Falle Nietzsches, der sich »eine Notwendigkeit« nannte.",
199,"Die höchste Sensation des Erlebnis-Hungrigen war das Erlebnis des Schicksals selber, und der höchste Typus des Menschen war daher der Mensch, der ein Schicksal, eine Mission, eine Berufung hatte, der er nur diente, beziehungsweise deren Vollzug er war.",
200,Groß war daher nicht mehr eigentlich ein Werk oder eine Leistung,
201,"groß wurde der Mensch selbst, nämlich als Inkarnation von etwas Übermenschlichem.",
202,"Genie war nicht mehr eine Gabe der Götter, verliehen an Menschen, die doch deshalb immer noch menschlich blieben;",
203,die gesamte Person wurde eine einzige Verkörperung von Genie und konnte daher nicht länger ein gewöhnlicher Sterblicher sein.,
204,"Daß diese Vorstellung vom Genie als einer Art übermenschlichen Monsters durchaus dem 19. Jahrhundert und keiner früheren Epoche eigen war, kann man noch deutlich in Kants Definition des Genies sehen.",
205,"Für ihn ist Genie die Gabe, durch die »Natur der Kunst die Regel vorschreibt«;",
206,"man kann mit dieser Naturkonzeption heute streiten, und man mag meinen, daß im Genie die Menschheit selbst der »Kunst die Regel vorschreibt«;",
207,"wesentlich ist hier nur, daß in dieser Definition des 18. Jahrhunderts noch nichts von der leeren Größe, die unmittelbar nach Kant in der Romantik bereits ihr Unwesen trieb, zu spüren ist.",
208,"Was Kafka persönlich so modern und zu gleicher Zeit so fremdartig unter seinen Zeitgenossen und in seinem Milieu der Prager und Wiener Literaten erscheinen läßt, ist gerade, daß er so offensichtlich nicht ein Genie oder die Verkörperung irgendeiner objektiven Größe sein wollte und daß er andererseits so leidenschaftlich sich weigerte, sich irgendwelchem Schicksal einfach zu unterwerfen.",
209,"Er war in keiner Weise mehr in die Welt verliebt, so wie sie uns gegeben ist, und selbst von der Natur meinte er, daß ihre Überlegenheit über den Menschen nur so lange bestehe, »als ich Euch in Ruhe lasse«.",
210,"Ihm ging es um eine mögliche, von Menschen erbaute Welt, in der des Menschen Handlungen von nichts abhängen als von ihm selbst, seiner eigenen Spontaneität, und in der die menschliche Gesellschaft durch von Menschen vorgeschriebene Gesetze regiert wird, und nicht durch geheimnisvolle Mächte, gleich ob sie als höhere oder niedere Mächte interpretiert werden.",
211,"Und in einer solchen, nicht mehr erträumten, sondern unmittelbar zu konstruierenden Welt wollte er, Kafka, bei Leibe keine Ausnahme sein, sondern ein Mitbürger, ein »Gemeindemitglied«.",
212,"Dies heißt natürlich nicht, daß er, wie manchmal angenommen wird, bescheiden gewesen sei.",
213,"Immerhin hat er einmal in seine Tagebücher mit echtem Erstaunen notiert, daß jeder Satz, wie er ihn zufällig niederschreibe, auch schon vollkommen sei - was der einfachen Wahrheit entspricht.",
214,"Kafka war nicht bescheiden, sondern demütig.",
215,"Um wenigstens im Entwurf Mitbürger einer solchen, von allem blutigen Spuk und mörderischen Zauber befreiten Welt zu werden, - wie er sie versuchsweise in Amerika, dem happy end von Amerika zu beschreiben suchte - mußte er notwendigerweise die Zerstörung der gegenwärtigen Welt antizipieren.",
216,"Seine Romane sind eine solche antizipierte Destruktion, durch deren Ruinen er das erhabene Bild des Menschen als eines Modells des guten Willens trägt, der wahrhaft Berge versetzen kann und Welten erbauen, der die Zerstörung aller Fehlkonstruktionen und die Trümmer aller Ruinen ertragen kann, weil ihm die Götter, wenn er nur guten Willens ist, ein unzerstörbares Herz gegeben haben.",
217,"Und da diese Kafkaschen Helden nicht wirkliche Personen sind, mit denen es hybrid wäre sich zu identifizieren, da sie nur Modelle sind und belassen in Anonymität, auch wenn sie bei Namen genannt werden, scheint es uns, als sei jeder von uns angerufen und aufgerufen.",
218,"Denn dieser, der guten Willens ist, kann irgendeiner sein und jedermann, vielleicht sogar du und ich.     ",
